period,i_start,delivered,throughput,losses,served_total,served_critical,demand_total,demand_critical,shortage,i_end,storage_mode,orders,arrivals
2035-01,65.0,0,65.0,2.925,8.333,6.667,8.333,6.667,0.0,53.742,BASE,"{""A"": 11.67, ""B"": 4.23}",{}
2035-02,53.742,0,0.0,0.0,8.333,6.667,8.333,6.667,0.0,45.408,BASE,"{""A"": 11.67, ""B"": 8.33}",{}
2035-03,45.408,0,0.0,0.0,8.333,6.667,8.333,6.667,0.0,37.075,BASE,"{""A"": 11.67, ""B"": 8.33}",{}
2035-04,37.075,0,0.0,0.0,8.333,6.667,8.333,6.667,0.0,28.742,BASE,"{""A"": 11.67, ""B"": 8.33}",{}
2035-05,28.742,4.227,4.227,0.19,8.333,6.667,8.333,6.667,0.0,24.445,BASE,"{""A"": 11.67, ""B"": 8.52}","{""B"": 4.23}"
2035-06,24.445,8.333,8.333,0.375,8.333,6.667,8.333,6.667,0.0,24.07,BASE,"{""A"": 11.67, ""B"": 8.71}","{""B"": 8.33}"
2035-07,24.07,8.333,8.333,0.375,8.333,6.667,8.333,6.667,0.0,23.695,BASE,"{""A"": 11.67, ""B"": 8.71}","{""B"": 8.33}"
2035-08,23.695,8.333,8.333,0.375,8.333,6.667,8.333,6.667,0.0,23.32,BASE,"{""A"": 11.67, ""B"": 8.71}","{""B"": 8.33}"
2035-09,23.32,8.524,8.524,0.384,8.333,6.667,8.333,6.667,0.0,23.127,BASE,"{""A"": 11.67, ""B"": 6.7}","{""B"": 8.52}"
2035-10,23.127,8.708,8.708,0.392,8.333,6.667,8.333,6.667,0.0,23.11,BASE,"{""A"": 11.67, ""B"": 0.39}","{""B"": 8.71}"
2035-11,23.11,8.708,8.708,0.392,8.333,6.667,8.333,6.667,0.0,23.093,BASE,"{""A"": 11.67, ""B"": 0.39}","{""B"": 8.71}"
2035-12,23.093,8.708,8.708,0.392,8.333,6.667,8.333,6.667,0.0,23.076,BASE,"{""A"": 11.67, ""B"": 0.39}","{""B"": 8.71}"
2036-01,23.076,18.365,18.365,0.826,11.667,8.75,11.667,8.75,0.0,28.948,BASE,"{""A"": 15.83, ""B"": 0.83}","{""A"": 11.67, ""B"": 6.7}"
2036-02,28.948,12.059,12.059,0.543,11.667,8.75,11.667,8.75,0.0,28.797,BASE,"{""A"": 15.83, ""B"": 0.54}","{""A"": 11.67, ""B"": 0.39}"
2036-03,28.797,12.059,12.059,0.543,11.667,8.75,11.667,8.75,0.0,28.646,BASE,"{""A"": 15.83, ""B"": 0.54}","{""A"": 11.67, ""B"": 0.39}"
2036-04,28.646,12.059,12.059,0.543,11.667,8.75,11.667,8.75,0.0,28.495,BASE,"{""A"": 15.83, ""B"": 0.54}","{""A"": 11.67, ""B"": 0.39}"
2036-05,28.495,12.493,12.493,0.562,11.667,8.75,11.667,8.75,0.0,28.76,BASE,"{""A"": 15.83, ""B"": 0.56}","{""A"": 11.67, ""B"": 0.83}"
2036-06,28.76,12.209,12.209,0.549,11.667,8.75,11.667,8.75,0.0,28.753,BASE,"{""A"": 15.83, ""B"": 0.55}","{""A"": 11.67, ""B"": 0.54}"
2036-07,28.753,12.209,12.209,0.147,11.667,8.75,11.667,8.75,0.0,29.149,ZBO,"{""A"": 15.83}","{""A"": 11.67, ""B"": 0.54}"
2036-08,29.149,12.209,12.209,0.147,11.667,8.75,11.667,8.75,0.0,29.545,ZBO,"{""A"": 15.83}","{""A"": 11.67, ""B"": 0.54}"
2036-09,29.545,12.229,12.229,0.147,11.667,8.75,11.667,8.75,0.0,29.96,ZBO,"{""A"": 15.83, ""B"": 9.17}","{""A"": 11.67, ""B"": 0.56}"
2036-10,29.96,12.216,12.216,0.147,11.667,8.75,11.667,8.75,0.0,30.363,ZBO,"{""A"": 15.83, ""B"": 3.11}","{""A"": 11.67, ""B"": 0.55}"
2036-11,30.363,11.667,11.667,0.14,11.667,8.75,11.667,8.75,0.0,30.223,ZBO,"{""A"": 15.83, ""B"": 0.14}","{""A"": 11.67}"
2036-12,30.223,11.667,11.667,0.14,11.667,8.75,11.667,8.75,0.0,30.083,ZBO,"{""A"": 15.83, ""B"": 0.14}","{""A"": 11.67}"
2037-01,30.083,25.0,25.0,0.3,15.833,11.25,15.833,11.25,0.0,38.95,ZBO,"{""A"": 15.83, ""B"": 0.3}","{""A"": 15.83, ""B"": 9.17}"
2037-02,38.95,18.939,18.939,0.227,15.833,11.25,15.833,11.25,0.0,41.828,ZBO,"{""A"": 15.83, ""B"": 0.23}","{""A"": 15.83, ""B"": 3.11}"
2037-03,41.828,15.973,15.973,0.192,15.833,11.25,15.833,11.25,0.0,41.776,ZBO,"{""A"": 15.83, ""B"": 0.19}","{""A"": 15.83, ""B"": 0.14}"
2037-04,41.776,15.973,15.973,0.192,15.833,11.25,15.833,11.25,0.0,41.725,ZBO,"{""A"": 15.83, ""B"": 0.19}","{""A"": 15.83, ""B"": 0.14}"
2037-05,41.725,16.133,16.133,0.194,15.833,11.25,15.833,11.25,0.0,41.831,ZBO,"{""A"": 15.83, ""B"": 0.19}","{""A"": 15.83, ""B"": 0.3}"
2037-06,41.831,16.061,16.061,0.193,15.833,11.25,15.833,11.25,0.0,41.866,ZBO,"{""A"": 15.83, ""B"": 0.19}","{""A"": 15.83, ""B"": 0.23}"
2037-07,41.866,16.025,16.025,0.192,15.833,11.25,15.833,11.25,0.0,41.865,ZBO,"{""A"": 15.83, ""B"": 0.19}","{""A"": 15.83, ""B"": 0.19}"
2037-08,41.865,16.025,16.025,0.192,15.833,11.25,15.833,11.25,0.0,41.864,ZBO,"{""A"": 15.83, ""B"": 0.19}","{""A"": 15.83, ""B"": 0.19}"
2037-09,41.864,16.027,16.027,0.192,15.833,11.25,15.833,11.25,0.0,41.866,ZBO,"{""A"": 15.83, ""B"": 9.17}","{""A"": 15.83, ""B"": 0.19}"
2037-10,41.866,16.026,16.026,0.192,15.833,11.25,15.833,11.25,0.0,41.866,ZBO,"{""A"": 15.83, ""B"": 9.17}","{""A"": 15.83, ""B"": 0.19}"
2037-11,41.866,16.026,16.026,0.192,15.833,11.25,15.833,11.25,0.0,41.866,ZBO,"{""D"": 9.56, ""A"": 15.83, ""B"": 1.58}","{""A"": 15.83, ""B"": 0.19}"
2037-12,41.866,16.026,16.026,0.192,15.833,11.25,15.833,11.25,0.0,41.866,ZBO,"{""A"": 15.83, ""B"": 8.32}","{""A"": 15.83, ""B"": 0.19}"
2038-01,41.866,30.257,30.257,0.363,23.958,16.292,23.958,16.292,0.0,47.801,ZBO,"{""D"": 10.0, ""A"": 15.83, ""B"": 2.79}","{""A"": 15.83, ""B"": 9.17, ""D"": 5.26}"
2038-02,47.801,25.0,25.0,0.3,23.958,16.292,23.958,16.292,0.0,48.543,ZBO,"{""D"": 0.46, ""A"": 15.83, ""B"": 7.96}","{""A"": 15.83, ""B"": 9.17}"
2038-03,48.543,22.917,22.917,0.275,23.958,16.292,23.958,16.292,0.0,47.226,ZBO,"{""D"": 10.0, ""A"": 15.83, ""B"": 2.9}","{""A"": 15.83, ""B"": 1.58, ""D"": 5.5}"
2038-04,47.226,24.406,24.406,0.293,23.958,16.292,23.958,16.292,0.0,47.381,ZBO,"{""D"": 0.78, ""A"": 15.83, ""B"": 7.85}","{""A"": 15.83, ""B"": 8.32, ""D"": 0.26}"
2038-05,47.381,24.122,24.122,0.289,23.958,16.292,23.958,16.292,0.0,47.255,ZBO,"{""D"": 10.0, ""A"": 15.83, ""B"": 2.91}","{""A"": 15.83, ""B"": 2.79, ""D"": 5.5}"
2038-06,47.255,24.222,24.222,0.291,23.958,16.292,23.958,16.292,0.0,47.228,ZBO,"{""D"": 0.93, ""A"": 15.83, ""B"": 7.84}","{""A"": 15.83, ""B"": 7.96, ""D"": 0.43}"
2038-07,47.228,24.233,24.233,0.291,23.958,16.292,23.958,16.292,0.0,47.212,ZBO,"{""D"": 10.0, ""A"": 15.83, ""B"": 2.92}","{""A"": 15.83, ""B"": 2.9, ""D"": 5.5}"
2038-08,47.212,24.195,24.195,0.29,23.958,16.292,23.958,16.292,0.0,47.158,ZBO,"{""D"": 1.0, ""A"": 15.83, ""B"": 7.83}","{""A"": 15.83, ""B"": 7.85, ""D"": 0.51}"
