rule_id,period,passed,actual,limit,excess,message_ru
CAPEX_2037,2035-2037,True,1250.0,1800.0,0.0,CAPEX до 2037-12: 1250 млн ≤ 1800 млн
CAPEX_2040,2035-2040,True,1250.0,2800.0,0.0,CAPEX до 2040-12: 1250 млн ≤ 2800 млн
STRESS_TOTAL_SERVICE,2035,True,1.0,0.97,0.0,SL_total 2035: 1.0000 ≥ 0.97
STRESS_CRITICAL_SERVICE,2035,True,1.0,0.99,0.0,SL_critical 2035: 1.0000 ≥ 0.99
RESERVE_45D,2035,True,65.0,12.328767,0.0,Резерв 45 дн. 2035: запас 01.01 = 65.00 т ≥ 12.33 т
STRESS_TOTAL_SERVICE,2036,True,1.0,0.97,0.0,SL_total 2036: 1.0000 ≥ 0.97
STRESS_CRITICAL_SERVICE,2036,True,1.0,0.99,0.0,SL_critical 2036: 1.0000 ≥ 0.99
RESERVE_45D,2036,True,23.076089,17.260274,0.0,Резерв 45 дн. 2036: запас 01.01 = 23.08 т ≥ 17.26 т
STRESS_TOTAL_SERVICE,2037,True,1.0,0.97,0.0,SL_total 2037: 1.0000 ≥ 0.97
STRESS_CRITICAL_SERVICE,2037,True,1.0,0.99,0.0,SL_critical 2037: 1.0000 ≥ 0.99
RESERVE_45D,2037,True,28.750188,23.424658,0.0,Резерв 45 дн. 2037: запас 01.01 = 28.75 т ≥ 23.42 т
STRESS_TOTAL_SERVICE,2038,True,1.0,0.97,0.0,SL_total 2038: 1.0000 ≥ 0.97
STRESS_CRITICAL_SERVICE,2038,True,1.0,0.99,0.0,SL_critical 2038: 1.0000 ≥ 0.99
RESERVE_45D,2038,True,40.172371,35.445205,0.0,Резерв 45 дн. 2038: запас 01.01 = 40.17 т ≥ 35.45 т
STRESS_LOSS_LIMIT,2038,False,0.045,0.02,0.025,Потери/throughput 2038: 0.0450 > 0.02
STRESS_TOTAL_SERVICE,2039,True,1.0,0.97,0.0,SL_total 2039: 1.0000 ≥ 0.97
STRESS_CRITICAL_SERVICE,2039,True,1.0,0.99,0.0,SL_critical 2039: 1.0000 ≥ 0.99
RESERVE_45D,2039,False,44.867922,45.369863,0.501941,Резерв 45 дн. 2039: запас 01.01 = 44.87 т < 45.37 т
STRESS_LOSS_LIMIT,2039,False,0.045,0.02,0.025,Потери/throughput 2039: 0.0450 > 0.02
STRESS_TOTAL_SERVICE,2040,True,1.0,0.97,0.0,SL_total 2040: 1.0000 ≥ 0.97
STRESS_CRITICAL_SERVICE,2040,True,1.0,0.99,0.0,SL_critical 2040: 1.0000 ≥ 0.99
RESERVE_45D,2040,False,49.317922,55.294521,5.976599,Резерв 45 дн. 2040: запас 01.01 = 49.32 т < 55.29 т
STRESS_LOSS_LIMIT,2040,False,0.045,0.02,0.025,Потери/throughput 2040: 0.0450 > 0.02
EMERGENCY_BASE_STREAK,2035-2040,True,0,2,0,Emergency как база: макс. серия 0 год(а) (лимит 2); базовые годы: нет
ISRU_DEADLINE,2036-06,True,0.0,0.0,0.0,Финансирование ISRU 2036-06: в срок (≤2037-12)
