strategy,scenario,total_cost_mln,total_pv_mln,capex_2037_mln,capex_2040_mln,capex_headroom_2037,min_sl_total,min_sl_critical,shortage_total_t,shortage_2038_2040_t,n_violations,violations
S01,BASE,7304.8,5913.0,0.0,0.0,1800.0,0.4653,0.669,463.7,415.7,14,BASE_CRITICAL_SERVICE@2035; BASE_CRITICAL_SERVICE@2039; BASE_CRITICAL_SERVICE@2040; BASE_TOTAL_SERVICE@2035; BASE_TOTAL_SERVICE@2036; BASE_TOTAL_SERVICE@2037; BASE_TOTAL_SERVICE@2038; BASE_TOTAL_SERVICE@2039; BASE_TOTAL_SERVICE@2040; RESERVE_45D@2036; RESERVE_45D@2037; RESERVE_45D@2038; RESERVE_45D@2039; RESERVE_45D@2040
S01,MANDATORY_STRESS,7893.8,6335.4,0.0,0.0,1800.0,0.4046,0.6311,607.6,559.7,18,RESERVE_45D@2036; RESERVE_45D@2037; RESERVE_45D@2038; RESERVE_45D@2039; RESERVE_45D@2040; STRESS_CRITICAL_SERVICE@2035; STRESS_CRITICAL_SERVICE@2038; STRESS_CRITICAL_SERVICE@2039; STRESS_CRITICAL_SERVICE@2040; STRESS_LOSS_LIMIT@2038; STRESS_LOSS_LIMIT@2039; STRESS_LOSS_LIMIT@2040; STRESS_TOTAL_SERVICE@2035; STRESS_TOTAL_SERVICE@2036; STRESS_TOTAL_SERVICE@2037; STRESS_TOTAL_SERVICE@2038; STRESS_TOTAL_SERVICE@2039; STRESS_TOTAL_SERVICE@2040
S02,BASE,10968.9,8720.7,0.0,0.0,1800.0,0.7602,1.0,93.5,93.5,2,BASE_TOTAL_SERVICE@2040; RESERVE_45D@2040
S02,MANDATORY_STRESS,12345.0,9728.8,0.0,0.0,1800.0,0.6388,0.9965,204.3,204.3,7,RESERVE_45D@2039; RESERVE_45D@2040; STRESS_LOSS_LIMIT@2038; STRESS_LOSS_LIMIT@2039; STRESS_LOSS_LIMIT@2040; STRESS_TOTAL_SERVICE@2039; STRESS_TOTAL_SERVICE@2040
S03,BASE,13011.0,10082.3,0.0,0.0,1800.0,1.0,1.0,0.0,0.0,0,
S03,MANDATORY_STRESS,14995.9,11521.1,0.0,0.0,1800.0,0.9143,1.0,38.5,38.5,5,RESERVE_45D@2040; STRESS_LOSS_LIMIT@2038; STRESS_LOSS_LIMIT@2039; STRESS_LOSS_LIMIT@2040; STRESS_TOTAL_SERVICE@2040
S04,BASE,11211.2,8892.6,0.0,0.0,1800.0,0.7602,1.0,93.5,93.5,2,BASE_TOTAL_SERVICE@2040; RESERVE_45D@2040
S04,MANDATORY_STRESS,12444.6,9790.5,0.0,0.0,1800.0,0.6388,0.9965,218.7,218.7,7,RESERVE_45D@2039; RESERVE_45D@2040; STRESS_LOSS_LIMIT@2038; STRESS_LOSS_LIMIT@2039; STRESS_LOSS_LIMIT@2040; STRESS_TOTAL_SERVICE@2039; STRESS_TOTAL_SERVICE@2040
S05,BASE,11056.9,8803.5,180.0,180.0,1620.0,0.8166,1.0,71.5,71.5,2,BASE_TOTAL_SERVICE@2040; RESERVE_45D@2040
S05,MANDATORY_STRESS,12509.6,9870.7,180.0,180.0,1620.0,0.6609,1.0,172.9,172.9,3,RESERVE_45D@2040; STRESS_TOTAL_SERVICE@2039; STRESS_TOTAL_SERVICE@2040
