weight_set,strategy,score,pv_score,cost_score,sl_margin_base_score,sl_margin_stress_score,capex_headroom_score,flexibility_score,weights
BASELINE,S10,0.97,1.0,1.0,1.0,1.0,1.0,0.7,"{""cost"": 0.15, ""flexibility"": 0.1, ""headroom"": 0.1, ""pv"": 0.3, ""sl_base"": 0.15, ""sl_stress"": 0.2}"
BASELINE,S14,0.426778,0.089465,0.099592,1.0,1.0,0.0,0.35,"{""cost"": 0.15, ""flexibility"": 0.1, ""headroom"": 0.1, ""pv"": 0.3, ""sl_base"": 0.15, ""sl_stress"": 0.2}"
BASELINE,S18,0.45487,0.127146,0.144844,1.0,1.0,0.0,0.45,"{""cost"": 0.15, ""flexibility"": 0.1, ""headroom"": 0.1, ""pv"": 0.3, ""sl_base"": 0.15, ""sl_stress"": 0.2}"
BASELINE,S21,0.39,0.0,0.0,1.0,1.0,0.0,0.4,"{""cost"": 0.15, ""flexibility"": 0.1, ""headroom"": 0.1, ""pv"": 0.3, ""sl_base"": 0.15, ""sl_stress"": 0.2}"
BASELINE,S25,0.843241,0.745665,0.630278,1.0,1.0,0.75,1.0,"{""cost"": 0.15, ""flexibility"": 0.1, ""headroom"": 0.1, ""pv"": 0.3, ""sl_base"": 0.15, ""sl_stress"": 0.2}"
ECONOMY,S10,0.985,1.0,1.0,1.0,1.0,1.0,0.7,"{""cost"": 0.2, ""flexibility"": 0.05, ""headroom"": 0.1, ""pv"": 0.45, ""sl_base"": 0.1, ""sl_stress"": 0.1}"
ECONOMY,S14,0.277678,0.089465,0.099592,1.0,1.0,0.0,0.35,"{""cost"": 0.2, ""flexibility"": 0.05, ""headroom"": 0.1, ""pv"": 0.45, ""sl_base"": 0.1, ""sl_stress"": 0.1}"
ECONOMY,S18,0.308685,0.127146,0.144844,1.0,1.0,0.0,0.45,"{""cost"": 0.2, ""flexibility"": 0.05, ""headroom"": 0.1, ""pv"": 0.45, ""sl_base"": 0.1, ""sl_stress"": 0.1}"
ECONOMY,S21,0.22,0.0,0.0,1.0,1.0,0.0,0.4,"{""cost"": 0.2, ""flexibility"": 0.05, ""headroom"": 0.1, ""pv"": 0.45, ""sl_base"": 0.1, ""sl_stress"": 0.1}"
ECONOMY,S25,0.786605,0.745665,0.630278,1.0,1.0,0.75,1.0,"{""cost"": 0.2, ""flexibility"": 0.05, ""headroom"": 0.1, ""pv"": 0.45, ""sl_base"": 0.1, ""sl_stress"": 0.1}"
RESILIENCE,S10,0.985,1.0,1.0,1.0,1.0,1.0,0.7,"{""cost"": 0.1, ""flexibility"": 0.05, ""headroom"": 0.15, ""pv"": 0.2, ""sl_base"": 0.2, ""sl_stress"": 0.3}"
RESILIENCE,S14,0.545352,0.089465,0.099592,1.0,1.0,0.0,0.35,"{""cost"": 0.1, ""flexibility"": 0.05, ""headroom"": 0.15, ""pv"": 0.2, ""sl_base"": 0.2, ""sl_stress"": 0.3}"
RESILIENCE,S18,0.562414,0.127146,0.144844,1.0,1.0,0.0,0.45,"{""cost"": 0.1, ""flexibility"": 0.05, ""headroom"": 0.15, ""pv"": 0.2, ""sl_base"": 0.2, ""sl_stress"": 0.3}"
RESILIENCE,S21,0.52,0.0,0.0,1.0,1.0,0.0,0.4,"{""cost"": 0.1, ""flexibility"": 0.05, ""headroom"": 0.15, ""pv"": 0.2, ""sl_base"": 0.2, ""sl_stress"": 0.3}"
RESILIENCE,S25,0.874661,0.745665,0.630278,1.0,1.0,0.75,1.0,"{""cost"": 0.1, ""flexibility"": 0.05, ""headroom"": 0.15, ""pv"": 0.2, ""sl_base"": 0.2, ""sl_stress"": 0.3}"
FLEXIBILITY,S10,0.895,1.0,1.0,1.0,1.0,1.0,0.7,"{""cost"": 0.1, ""flexibility"": 0.35, ""headroom"": 0.1, ""pv"": 0.2, ""sl_base"": 0.1, ""sl_stress"": 0.15}"
FLEXIBILITY,S14,0.400352,0.089465,0.099592,1.0,1.0,0.0,0.35,"{""cost"": 0.1, ""flexibility"": 0.35, ""headroom"": 0.1, ""pv"": 0.2, ""sl_base"": 0.1, ""sl_stress"": 0.15}"
FLEXIBILITY,S18,0.447414,0.127146,0.144844,1.0,1.0,0.0,0.45,"{""cost"": 0.1, ""flexibility"": 0.35, ""headroom"": 0.1, ""pv"": 0.2, ""sl_base"": 0.1, ""sl_stress"": 0.15}"
FLEXIBILITY,S21,0.39,0.0,0.0,1.0,1.0,0.0,0.4,"{""cost"": 0.1, ""flexibility"": 0.35, ""headroom"": 0.1, ""pv"": 0.2, ""sl_base"": 0.1, ""sl_stress"": 0.15}"
FLEXIBILITY,S25,0.887161,0.745665,0.630278,1.0,1.0,0.75,1.0,"{""cost"": 0.1, ""flexibility"": 0.35, ""headroom"": 0.1, ""pv"": 0.2, ""sl_base"": 0.1, ""sl_stress"": 0.15}"
