strategy,scenario,metric,manual,core,difference_pct,status,explanation_ru
S10,BASE,PV расходов,9951.4,9961.312777,0.0996,OK,Расхождение от округления помесячных заказов до 0.001 т; конвенция мощности D8 применена по году поставки.
S10,BASE,Номинальные расходы,12399.28,12411.713717,0.1003,OK,Расхождение от округления помесячных заказов до 0.001 т; конвенция мощности D8 применена по году поставки.
S10,MANDATORY_STRESS,PV расходов,11488.55,11498.452757,0.0862,OK,Расхождение от округления помесячных заказов до 0.001 т; конвенция мощности D8 применена по году поставки.
S10,MANDATORY_STRESS,Номинальные расходы,14510.85,14523.266772,0.0856,OK,Расхождение от округления помесячных заказов до 0.001 т; конвенция мощности D8 применена по году поставки.
S14,BASE,PV расходов,11964.99,11974.842987,0.0823,OK,Расхождение от округления помесячных заказов до 0.001 т; конвенция мощности D8 применена по году поставки.
S14,BASE,Номинальные расходы,14482.17,14494.534295,0.0854,OK,Расхождение от округления помесячных заказов до 0.001 т; конвенция мощности D8 применена по году поставки.
S14,MANDATORY_STRESS,PV расходов,13158.62,13168.410868,0.0744,OK,Расхождение от округления помесячных заказов до 0.001 т; конвенция мощности D8 применена по году поставки.
S14,MANDATORY_STRESS,Номинальные расходы,16177.12,16189.399344,0.0759,OK,Расхождение от округления помесячных заказов до 0.001 т; конвенция мощности D8 применена по году поставки.
S18,BASE,PV расходов,11797.61,11807.461653,0.0835,OK,Расхождение от округления помесячных заказов до 0.001 т; конвенция мощности D8 применена по году поставки.
S18,BASE,Номинальные расходы,14282.38,14294.748484,0.0866,OK,Расхождение от округления помесячных заказов до 0.001 т; конвенция мощности D8 применена по году поставки.
S18,MANDATORY_STRESS,PV расходов,13145.55,13155.337739,0.0745,OK,Расхождение от округления помесячных заказов до 0.001 т; конвенция мощности D8 применена по году поставки.
S18,MANDATORY_STRESS,Номинальные расходы,16163.37,16175.640738,0.0759,OK,Расхождение от округления помесячных заказов до 0.001 т; конвенция мощности D8 применена по году поставки.
S21,BASE,PV расходов,12088.11,12097.980566,0.0817,OK,Расхождение от округления помесячных заказов до 0.001 т; конвенция мощности D8 применена по году поставки.
S21,BASE,Номинальные расходы,14622.37,14634.760426,0.0847,OK,Расхождение от округления помесячных заказов до 0.001 т; конвенция мощности D8 применена по году поставки.
S21,MANDATORY_STRESS,PV расходов,13372.47,13382.295594,0.0735,OK,Расхождение от округления помесячных заказов до 0.001 т; конвенция мощности D8 применена по году поставки.
S21,MANDATORY_STRESS,Номинальные расходы,16427.7,16440.013646,0.075,OK,Расхождение от округления помесячных заказов до 0.001 т; конвенция мощности D8 применена по году поставки.
S25,BASE,PV расходов,9938.1,9948.006992,0.0997,OK,Расхождение от округления помесячных заказов до 0.001 т; конвенция мощности D8 применена по году поставки.
S25,BASE,Номинальные расходы,12489.28,12501.713717,0.0996,OK,Расхождение от округления помесячных заказов до 0.001 т; конвенция мощности D8 применена по году поставки.
S25,MANDATORY_STRESS,PV расходов,12338.84,12348.736082,0.0802,OK,Расхождение от округления помесячных заказов до 0.001 т; конвенция мощности D8 применена по году поставки.
S25,MANDATORY_STRESS,Номинальные расходы,15758.0,15770.417964,0.0788,OK,Расхождение от округления помесячных заказов до 0.001 т; конвенция мощности D8 применена по году поставки.
