strategy,scenario,run_mode,total_mln,pv_mln,served_t,cost_per_served_t_mln,min_sl_total,min_sl_critical,shortage_t,min_reserve_margin_t,capex_2037_mln,capex_headroom_mln,hard_violations,failed_rules
S01,BASE,fixed_BASE_plan,7306.3,5914.470942,929.5,7.860463,0.46525641,0.70833333,460.5,-48.082192,0.0,1800.0,14,BASE_TOTAL_SERVICE:2035; BASE_CRITICAL_SERVICE:2035; BASE_TOTAL_SERVICE:2036; BASE_TOTAL_SERVICE:2037; BASE_TOTAL_SERVICE:2038; BASE_TOTAL_SERVICE:2039; BASE_CRITICAL_SERVICE:2039; BASE_TOTAL_SERVICE:2040; BASE_CRITICAL_SERVICE:2040; RESERVE_45D:2036; RESERVE_45D:2037; RESERVE_45D:2038; RESERVE_45D:2039; RESERVE_45D:2040
S01,MANDATORY_STRESS,fixed_BASE_plan,7895.3,6336.880614,929.5,8.494137,0.40457079,0.63113043,604.5,-55.294521,0.0,1800.0,18,BASE_TOTAL_SERVICE:2035; BASE_CRITICAL_SERVICE:2035; BASE_TOTAL_SERVICE:2036; BASE_TOTAL_SERVICE:2037; BASE_TOTAL_SERVICE:2038; BASE_CRITICAL_SERVICE:2038; BASE_TOTAL_SERVICE:2039; BASE_CRITICAL_SERVICE:2039; BASE_TOTAL_SERVICE:2040; BASE_CRITICAL_SERVICE:2040; RESERVE_45D:2036; RESERVE_45D:2037; RESERVE_45D:2038; RESERVE_45D:2039; RESERVE_45D:2040; STRESS_LOSS_LIMIT:2038; STRESS_LOSS_LIMIT:2039; STRESS_LOSS_LIMIT:2040
S02,BASE,fixed_BASE_plan,10984.499471,8732.693715,1276.041867,8.608259,0.70779966,1.0,113.958133,-35.193758,0.0,1800.0,3,BASE_TOTAL_SERVICE:2040; RESERVE_45D:2036; RESERVE_45D:2040
S02,MANDATORY_STRESS,fixed_BASE_plan,11971.680348,9439.084882,1276.041867,9.381887,0.58674121,0.91531629,257.958133,-55.294521,0.0,1800.0,9,BASE_TOTAL_SERVICE:2039; BASE_TOTAL_SERVICE:2040; BASE_CRITICAL_SERVICE:2040; RESERVE_45D:2036; RESERVE_45D:2039; RESERVE_45D:2040; STRESS_LOSS_LIMIT:2038; STRESS_LOSS_LIMIT:2039; STRESS_LOSS_LIMIT:2040
S03,BASE,fixed_BASE_plan,13020.847323,10090.709858,1390.0,9.367516,1.0,1.0,0.0,-5.934816,0.0,1800.0,1,RESERVE_45D:2036
S03,MANDATORY_STRESS,fixed_BASE_plan,13947.443444,10755.824285,1391.586521,10.022692,0.73836299,1.0,142.413479,-55.294521,0.0,1800.0,8,BASE_TOTAL_SERVICE:2039; BASE_TOTAL_SERVICE:2040; RESERVE_45D:2036; RESERVE_45D:2039; RESERVE_45D:2040; STRESS_LOSS_LIMIT:2038; STRESS_LOSS_LIMIT:2039; STRESS_LOSS_LIMIT:2040
S04,BASE,fixed_BASE_plan,11227.480461,8905.816015,1276.051417,8.798611,0.70782415,1.0,113.948583,-35.184208,0.0,1800.0,2,BASE_TOTAL_SERVICE:2040; RESERVE_45D:2040
S04,MANDATORY_STRESS,fixed_BASE_plan,12237.45079,9629.319797,1276.051417,9.590092,0.58674121,0.91531629,257.948583,-55.294521,0.0,1800.0,8,BASE_TOTAL_SERVICE:2039; BASE_TOTAL_SERVICE:2040; BASE_CRITICAL_SERVICE:2040; RESERVE_45D:2039; RESERVE_45D:2040; STRESS_LOSS_LIMIT:2038; STRESS_LOSS_LIMIT:2039; STRESS_LOSS_LIMIT:2040
S05,BASE,fixed_BASE_plan,11075.367838,8817.549362,1297.816134,8.53385,0.76363111,1.0,92.183866,-22.512751,180.0,1620.0,3,BASE_TOTAL_SERVICE:2040; RESERVE_45D:2036; RESERVE_45D:2040
S05,MANDATORY_STRESS,fixed_BASE_plan,12041.980247,9509.084131,1297.816134,9.278649,0.60701604,0.93662618,236.183866,-55.294521,180.0,1620.0,6,BASE_TOTAL_SERVICE:2039; BASE_TOTAL_SERVICE:2040; BASE_CRITICAL_SERVICE:2040; RESERVE_45D:2036; RESERVE_45D:2039; RESERVE_45D:2040
