strategy,scenario,discount_rate,pv_mln
S10,BASE,0.05,11053.015089
S10,BASE,0.1,9961.312777
S10,BASE,0.15,9072.131939
S10,MANDATORY_STRESS,0.05,12846.647586
S10,MANDATORY_STRESS,0.1,11498.452757
S10,MANDATORY_STRESS,0.15,10400.096996
S14,BASE,0.05,13102.377259
S14,BASE,0.1,11974.842987
S14,BASE,0.15,11049.40081
S14,MANDATORY_STRESS,0.05,14517.398231
S14,MANDATORY_STRESS,0.1,13168.410868
S14,MANDATORY_STRESS,0.15,12065.567292
S18,BASE,0.05,12920.02168
S18,BASE,0.1,11807.461653
S18,BASE,0.15,10894.976569
S18,MANDATORY_STRESS,0.05,14503.999756
S18,MANDATORY_STRESS,0.1,13155.337739
S18,MANDATORY_STRESS,0.15,12052.772346
S21,BASE,0.05,13233.130177
S21,BASE,0.1,12097.980566
S21,BASE,0.15,11166.340659
S21,MANDATORY_STRESS,0.05,14747.911163
S21,MANDATORY_STRESS,0.1,13382.295594
S21,MANDATORY_STRESS,0.15,12265.540506
S25,BASE,0.05,11086.325747
S25,BASE,0.1,9948.006992
S25,BASE,0.15,9020.355002
S25,MANDATORY_STRESS,0.05,13875.82205
S25,MANDATORY_STRESS,0.1,12348.736082
S25,MANDATORY_STRESS,0.15,11102.338315
