strategy,scenario,lead_time_C_months,pv_mln,shortage_t,hard_violations,method_ru
S10,BASE,18,9961.312777,0.0,0,C отсутствует в заказах; параметр не влияет.
S10,BASE,24,9961.312777,0.0,0,C отсутствует в заказах; параметр не влияет.
S10,MANDATORY_STRESS,18,11498.452757,0.0,0,C отсутствует в заказах; параметр не влияет.
S10,MANDATORY_STRESS,24,11498.452757,0.0,0,C отсутствует в заказах; параметр не влияет.
S14,BASE,18,11513.357187,0.0,0,"Прокси на копиях: срок C=18 мес., заказ сдвинут на 6 мес. позже при неизменной дате физической поставки и exercise."
S14,BASE,24,11974.842987,0.0,0,"Прокси на копиях: срок C=18 мес., заказ сдвинут на 6 мес. позже при неизменной дате физической поставки и exercise."
S14,MANDATORY_STRESS,18,12706.925068,0.0,0,"Прокси на копиях: срок C=18 мес., заказ сдвинут на 6 мес. позже при неизменной дате физической поставки и exercise."
S14,MANDATORY_STRESS,24,13168.410868,0.0,0,"Прокси на копиях: срок C=18 мес., заказ сдвинут на 6 мес. позже при неизменной дате физической поставки и exercise."
S18,BASE,18,11345.975853,0.0,0,"Прокси на копиях: срок C=18 мес., заказ сдвинут на 6 мес. позже при неизменной дате физической поставки и exercise."
S18,BASE,24,11807.461653,0.0,0,"Прокси на копиях: срок C=18 мес., заказ сдвинут на 6 мес. позже при неизменной дате физической поставки и exercise."
S18,MANDATORY_STRESS,18,12693.851939,0.0,0,"Прокси на копиях: срок C=18 мес., заказ сдвинут на 6 мес. позже при неизменной дате физической поставки и exercise."
S18,MANDATORY_STRESS,24,13155.337739,0.0,0,"Прокси на копиях: срок C=18 мес., заказ сдвинут на 6 мес. позже при неизменной дате физической поставки и exercise."
S21,BASE,18,11636.494766,0.0,0,"Прокси на копиях: срок C=18 мес., заказ сдвинут на 6 мес. позже при неизменной дате физической поставки и exercise."
S21,BASE,24,12097.980566,0.0,0,"Прокси на копиях: срок C=18 мес., заказ сдвинут на 6 мес. позже при неизменной дате физической поставки и exercise."
S21,MANDATORY_STRESS,18,12920.809794,0.0,0,"Прокси на копиях: срок C=18 мес., заказ сдвинут на 6 мес. позже при неизменной дате физической поставки и exercise."
S21,MANDATORY_STRESS,24,13382.295594,0.0,0,"Прокси на копиях: срок C=18 мес., заказ сдвинут на 6 мес. позже при неизменной дате физической поставки и exercise."
S25,BASE,18,9948.006992,0.0,0,C отсутствует в заказах; параметр не влияет.
S25,BASE,24,9948.006992,0.0,0,C отсутствует в заказах; параметр не влияет.
S25,MANDATORY_STRESS,18,12317.215981,0.0,0,"Прокси на копиях: срок C=18 мес., заказ сдвинут на 6 мес. позже при неизменной дате физической поставки и exercise."
S25,MANDATORY_STRESS,24,12348.736082,0.0,0,"Прокси на копиях: срок C=18 мес., заказ сдвинут на 6 мес. позже при неизменной дате физической поставки и exercise."
