period,inventory_t,reserve_threshold_t,capacity_t
2035-01,56.66666667,12.32876712,70
2035-02,48.33333333,12.32876712,70
2035-03,40,12.32876712,70
2035-04,31.66666667,12.32876712,70
2035-05,32.08781833,12.32876712,70
2035-06,32.48987,12.32876712,70
2035-07,32.11455167,12.32876712,70
2035-08,31.73923333,12.32876712,70
2035-09,31.75833,12.32876712,70
2035-10,31.77647167,12.32876712,70
2035-11,31.75927833,12.32876712,70
2035-12,31.742085,12.32876712,70
2036-01,39.58606833,17.26027397,70
2036-02,39.43765667,17.26027397,70
2036-03,39.287335,17.26027397,70
2036-04,39.13701333,17.26027397,70
2036-05,39.48997667,17.26027397,70
2036-06,39.48386,17.26027397,70
2036-07,39.88067333,17.26027397,120
2036-08,40.27748667,17.26027397,120
2036-09,40.697024,17.26027397,120
2036-10,41.09976533,17.26027397,120
2036-11,40.96009467,17.26027397,120
2036-12,40.820424,17.26027397,120
2037-01,51.33309867,23.42465753,120
2037-02,50.90564933,23.42465753,120
2037-03,50.71532,23.42465753,120
2037-04,50.52499067,23.42465753,120
2037-05,50.45519733,23.42465753,120
2037-06,50.449624,23.42465753,120
2037-07,50.44701467,23.42465753,120
2037-08,50.44440533,23.42465753,120
2037-09,50.443772,23.42465753,120
2037-10,50.44412667,23.42465753,120
2037-11,50.44349333,23.42465753,120
2037-12,50.44286,23.42465753,120
2038-01,61.93688667,30.82191781,120
2038-02,62.13115733,30.82191781,120
2038-03,62.269112,30.82191781,120
2038-04,62.27171067,30.82191781,120
2038-05,62.27332133,30.82191781,120
2038-06,62.272956,30.82191781,120
2038-07,62.27259067,30.82191781,120
2038-08,62.27222533,30.82191781,120
2038-09,62.27186,30.82191781,120
2038-10,62.27149467,30.82191781,120
2038-11,62.21086133,30.82191781,120
2038-12,62.270764,30.82191781,120
2039-01,73.61344533,39.45205479,120
2039-02,73.56745067,39.45205479,120
2039-03,73.703248,39.45205479,120
2039-04,73.70171333,39.45205479,120
2039-05,73.70314267,39.45205479,120
2039-06,73.702596,39.45205479,120
2039-07,73.70204933,39.45205479,120
2039-08,73.70150267,39.45205479,120
2039-09,73.700956,39.45205479,120
2039-10,73.70040933,39.45205479,120
2039-11,73.62971467,39.45205479,120
2039-12,73.700304,39.45205479,120
2040-01,73.6976,48.08219178,120
2040-02,73.627712,48.08219178,120
2040-03,73.626984,48.08219178,120
2040-04,73.626256,48.08219178,120
2040-05,73.625528,48.08219178,120
2040-06,73.6248,48.08219178,120
2040-07,73.624072,48.08219178,120
2040-08,73.623344,48.08219178,120
2040-09,73.622616,48.08219178,120
2040-10,73.621888,48.08219178,120
2040-11,73.62116,48.08219178,120
2040-12,73.620432,48.08219178,120
