strategy,scenario,run_mode,total_mln,pv_mln,served_t,cost_per_served_t_mln,min_sl_total,min_sl_critical,shortage_t,min_reserve_margin_t,capex_2037_mln,capex_headroom_mln,hard_violations,failed_rules
S10,BASE,scenario_specific,12411.713717,9961.312777,1390.0,8.92929,1.0,1.0,0.0,8.739396,1430.0,370.0,0,
S10,MANDATORY_STRESS,scenario_specific,14523.266772,11498.452757,1534.0,9.467579,1.0,1.0,0.0,4.661971,1430.0,370.0,0,
S14,BASE,scenario_specific,14494.534295,11974.842987,1390.0,10.427723,1.0,1.0,0.0,8.739396,1790.0,10.0,0,
S14,MANDATORY_STRESS,scenario_specific,16189.399344,13168.410868,1534.0,10.553715,1.0,1.0,0.0,6.784753,1790.0,10.0,0,
S18,BASE,scenario_specific,14294.748484,11807.461653,1390.0,10.283992,1.0,1.0,0.0,8.739396,1790.0,10.0,0,
S18,MANDATORY_STRESS,scenario_specific,16175.640738,13155.337739,1534.0,10.544746,1.0,1.0,0.0,6.780043,1790.0,10.0,0,
S21,BASE,scenario_specific,14634.760426,12097.980566,1390.0,10.528605,1.0,1.0,0.0,14.481811,1790.0,10.0,0,
S21,MANDATORY_STRESS,scenario_specific,16440.013646,13382.295594,1534.0,10.717088,1.0,1.0,0.0,14.481811,1790.0,10.0,0,
S25,BASE,scenario_specific,12501.713717,9948.006992,1390.0,8.994039,1.0,1.0,0.0,8.739396,1520.0,280.0,0,
S25,MANDATORY_STRESS,scenario_specific,15770.417964,12348.736082,1534.0,10.280585,1.0,1.0,0.0,4.661971,1520.0,280.0,0,
