run,year,capex_mln,capex_cumulative_mln,procurement_mln,reservation_mln,take_or_pay_extra_mln,holding_mln,fixed_opex_mln,total_mln,discounted_mln,cost_per_served_t_mln
BASE,2035,0,0,1909.5572,61.5,0,24.4498341,0,1995.507034,1995.507034,19.95507034
BASE,2036,1430,1430,1280.2807,79.5,0,22.99982199,6,2818.780522,2562.527747,20.13414659
BASE,2037,0,1430,1304.3513,102,0,28.70457864,12,1447.055879,1195.913949,7.616083572
BASE,2038,0,1430,1640.515167,102,0,35.063676,82,1859.578843,1397.129108,7.438315371
BASE,2039,0,1430,2125.9781,102,0,41.2222182,82,2351.200318,1605.901454,7.347500994
BASE,2040,0,1430,1714.113667,102,824.6,41.47745472,82,1939.591121,1204.333485,4.973310568
TEAM_GEO_CHANNEL_A,2035,0,0,1909.5572,61.5,0,24.4498341,0,1995.507034,1995.507034,19.95507034
TEAM_GEO_CHANNEL_A,2036,1430,1430,1280.2807,79.5,0,22.99982199,6,2818.780522,2562.527747,20.13414659
TEAM_GEO_CHANNEL_A,2037,0,1430,1304.3513,102,0,28.70457864,12,1447.055879,1195.913949,7.616083572
TEAM_GEO_CHANNEL_A,2038,0,1430,1876.110207,102,0,35.063676,82,2095.173883,1574.135149,8.380695531
TEAM_GEO_CHANNEL_A,2039,0,1430,2361.57314,102,0,41.2222182,82,2586.795358,1766.816036,8.083735494
TEAM_GEO_CHANNEL_A,2040,0,1430,1714.113667,102,824.6,41.47745472,82,1939.591121,1204.333485,4.973310568
MANDATORY_STRESS,2035,0,0,1909.5572,61.5,0,24.4498341,0,1995.507034,1995.507034,19.95507034
MANDATORY_STRESS,2036,1430,1430,1321.422433,79.5,0,22.99982199,6,2859.922255,2599.929323,20.42801611
MANDATORY_STRESS,2037,0,1430,1472.892667,102,0,31.70355384,12,1618.596221,1337.682827,8.518927476
MANDATORY_STRESS,2038,0,1430,2581.363667,102,0,36.04630759,82,2801.409974,2104.740777,9.744034693
MANDATORY_STRESS,2039,0,1430,3029.597,102,0,41.28315728,82,3254.880157,2223.126943,8.844783036
MANDATORY_STRESS,2040,0,1430,1777.266667,102,824.6,31.68446414,82,1992.951131,1237.465853,4.443592265
TEAM_GEO_A_MANDATORY_COMBINED,2035,0,0,1909.5572,61.5,0,24.4498341,0,1995.507034,1995.507034,19.95507034
TEAM_GEO_A_MANDATORY_COMBINED,2036,1430,1430,1321.422433,79.5,0,22.99982199,6,2859.922255,2599.929323,20.42801611
TEAM_GEO_A_MANDATORY_COMBINED,2037,0,1430,1472.892667,102,0,31.70355384,12,1618.596221,1337.682827,8.518927476
TEAM_GEO_A_MANDATORY_COMBINED,2038,0,1430,2875.857467,102,0,36.04630759,82,3095.903774,2325.998328,10.76836095
TEAM_GEO_A_MANDATORY_COMBINED,2039,0,1430,3324.0908,102,0,41.28315728,82,3549.373957,2424.270171,9.645037927
TEAM_GEO_A_MANDATORY_COMBINED,2040,0,1430,1777.266667,102,824.6,31.68446414,82,1992.951131,1237.465853,4.443592265
