run,year,demand_total_t,demand_critical_t,delivered_t,losses_t,served_total_t,served_critical_t,shortage_t,sl_total,sl_critical,i_start_t,i_end_t,reserve_required_t,reserve_actual_start_t,reserve_ok
BASE,2035,100,80,63.874,2.87433,100,80,0,1,1,65,25.99967,12.32876712,65,true
BASE,2036,140,105,151.444,4.432413,140,105,0,1,1,25.99967,33.011257,17.26027397,25.99967,true
BASE,2037,190,135,199.55,2.3946,190,135,0,1,1,33.011257,40.166657,23.42465753,33.011257,true
BASE,2038,250,170,262.094,3.145128,250,170,0,1,1,40.166657,49.115529,30.82191781,40.166657,true
BASE,2039,320,210,332.545,3.99054,320,210,0,1,1,49.115529,57.669989,39.45205479,49.115529,true
BASE,2040,390,250,394.666,4.735992,390,250,0,1,1,57.669989,57.599997,48.08219178,57.669989,true
TEAM_GEO_CHANNEL_A,2035,100,80,63.874,2.87433,100,80,0,1,1,65,25.99967,12.32876712,65,true
TEAM_GEO_CHANNEL_A,2036,140,105,151.444,4.432413,140,105,0,1,1,25.99967,33.011257,17.26027397,25.99967,true
TEAM_GEO_CHANNEL_A,2037,190,135,199.55,2.3946,190,135,0,1,1,33.011257,40.166657,23.42465753,33.011257,true
TEAM_GEO_CHANNEL_A,2038,250,170,262.094,3.145128,250,170,0,1,1,40.166657,49.115529,30.82191781,40.166657,true
TEAM_GEO_CHANNEL_A,2039,320,210,332.545,3.99054,320,210,0,1,1,49.115529,57.669989,39.45205479,49.115529,true
TEAM_GEO_CHANNEL_A,2040,390,250,394.666,4.735992,390,250,0,1,1,57.669989,57.599997,48.08219178,57.669989,true
MANDATORY_STRESS,2035,100,80,63.874,2.87433,100,80,0,1,1,65,25.99967,12.32876712,65,true
MANDATORY_STRESS,2036,140,105,151.444,4.432413,140,105,0,1,1,25.99967,33.011257,17.26027397,25.99967,true
MANDATORY_STRESS,2037,190,135,204.23,2.45076,190,135,0,1,1,33.011257,44.790497,23.42465753,33.011257,true
MANDATORY_STRESS,2038,287.5,195.5,296.2969,3.5555628,287.5,195.5,0,1,1,44.790497,50.0318342,35.44520548,44.790497,true
MANDATORY_STRESS,2039,368,241.5,383.3445,4.600134,368,241.5,0,1,1,50.0318342,60.7762002,45.36986301,50.0318342,true
MANDATORY_STRESS,2040,448.5,287.5,420,5.04,448.5,287.5,0,1,1,60.7762002,27.2362002,55.29452055,60.7762002,true
TEAM_GEO_A_MANDATORY_COMBINED,2035,100,80,63.874,2.87433,100,80,0,1,1,65,25.99967,12.32876712,65,true
TEAM_GEO_A_MANDATORY_COMBINED,2036,140,105,151.444,4.432413,140,105,0,1,1,25.99967,33.011257,17.26027397,25.99967,true
TEAM_GEO_A_MANDATORY_COMBINED,2037,190,135,204.23,2.45076,190,135,0,1,1,33.011257,44.790497,23.42465753,33.011257,true
TEAM_GEO_A_MANDATORY_COMBINED,2038,287.5,195.5,296.2969,3.5555628,287.5,195.5,0,1,1,44.790497,50.0318342,35.44520548,44.790497,true
TEAM_GEO_A_MANDATORY_COMBINED,2039,368,241.5,383.3445,4.600134,368,241.5,0,1,1,50.0318342,60.7762002,45.36986301,50.0318342,true
TEAM_GEO_A_MANDATORY_COMBINED,2040,448.5,287.5,420,5.04,448.5,287.5,0,1,1,60.7762002,27.2362002,55.29452055,60.7762002,true
