Показатель,FINAL_BASE,FINAL_STRESS,Изменение STRESS-BASE
Стратегия,S10 ISRU base,S10 ISRU base,Одна стратегическая архитектура
Операционный план,TD-01 под BASE,TD-01 под MANDATORY_STRESS,Заказы адаптированы к известному сценарию
PV расходов (млн),9961.31,11498.45,1537.14
Номинальные расходы (млн),12411.71,14523.27,2111.55
Обслуженный спрос (т),1390.00,1534.00,144.00
Минимальный SL total,1.0000,1.0000,0.0000
Минимальный SL critical,1.0000,1.0000,0.0000
Дефицит (т),0.00,0.00,0.00
Минимальный запас сверх R45 (т),8.74,4.66,-4.08
Конечный запас 2040 (т),57.60,27.24,-30.36
CAPEX к 2037 (млн),1430.00,1430.00,0.00
CAPEX headroom (млн),370.00,370.00,0.00
Hard-нарушения,0,0,0
