run,rule_id,period,actual,limit,excess,message_ru
MANDATORY_ON_FIXED_BASE,BASE_TOTAL_SERVICE,2038,0.9429393343,0.97,0.0270606657,SL_total 2038: 0.9429 < 0.97 (сценарий не BASE — ориентир устойчивости)
MANDATORY_ON_FIXED_BASE,BASE_TOTAL_SERVICE,2039,0.848592663,0.97,0.121407337,SL_total 2039: 0.8486 < 0.97 (сценарий не BASE — ориентир устойчивости)
MANDATORY_ON_FIXED_BASE,BASE_TOTAL_SERVICE,2040,0.8694091594,0.97,0.1005908406,SL_total 2040: 0.8694 < 0.97 (сценарий не BASE — ориентир устойчивости)
MANDATORY_ON_FIXED_BASE,RESERVE_45D,2039,0,45.36986301,45.36986301,Резерв 45 дн. 2039: запас на 01.01 = 0.00 т < требуемых 45.37 т
MANDATORY_ON_FIXED_BASE,RESERVE_45D,2040,0,55.29452055,55.29452055,Резерв 45 дн. 2040: запас на 01.01 = 0.00 т < требуемых 55.29 т
F1_demand_x1.15,BASE_TOTAL_SERVICE,2039,0.9243749701,0.97,0.0456250299,SL_total 2039: 0.9244 < 0.97 (сценарий не BASE — ориентир устойчивости)
F1_demand_x1.15,BASE_TOTAL_SERVICE,2040,0.8694091594,0.97,0.1005908406,SL_total 2040: 0.8694 < 0.97 (сценарий не BASE — ориентир устойчивости)
F1_demand_x1.15,RESERVE_45D,2039,11.615529,45.36986301,33.75433401,Резерв 45 дн. 2039: запас на 01.01 = 11.62 т < требуемых 45.37 т
F1_demand_x1.15,RESERVE_45D,2040,0,55.29452055,55.29452055,Резерв 45 дн. 2040: запас на 01.01 = 0.00 т < требуемых 55.29 т
F3_isru_55_75,RESERVE_45D,2039,21.0950586,39.45205479,18.35699619,Резерв 45 дн. 2039: запас на 01.01 = 21.10 т < требуемых 39.45 т
F3_isru_55_75,RESERVE_45D,2040,13.3771586,48.08219178,34.70503318,Резерв 45 дн. 2040: запас на 01.01 = 13.38 т < требуемых 48.08 т
