run,year,demand_total_t,demand_critical_t,delivered_t,losses_t,served_total_t,served_critical_t,shortage_t,sl_total,sl_critical,i_start_t,i_end_t,reserve_required_t,reserve_actual_start_t,reserve_ok
BASE,2035,100,80,63.874,2.87433,100,80,0,1,1,65,25.99967,12.32876712,65,true
BASE,2036,140,105,111.44,3.292299,134.147371,104.4833333,5.852629,0.9581955071,0.9950793651,25.99967,0,17.26027397,25.99967,true
BASE,2037,190,135,149.554,1.794648,147.759352,135,42.240648,0.7776808,1,0,0,23.42465753,0,false
BASE,2038,250,170,251.709,3.020508,248.5844533,170,1.415546667,0.9943378133,1,0,0.1040386667,30.82191781,0,false
BASE,2039,320,210,332.5443333,3.990532,320,210,0,1,1,0.1040386667,8.65784,39.45205479,0.1040386667,false
BASE,2040,390,250,394.6623333,4.735948,390,250,0,1,1,8.65784,8.584225333,48.08219178,8.65784,false
demand_low_x0.8,2035,80,64,63.874,2.87433,80,64,0,1,1,65,45.99967,9.863013699,65,true
demand_low_x0.8,2036,112,84,111.44,3.292299,112,84,0,1,1,45.99967,42.147371,13.80821918,45.99967,true
demand_low_x0.8,2037,152,108,149.554,1.794648,152,108,0,1,1,42.147371,37.906723,18.73972603,42.147371,true
demand_low_x0.8,2038,200,136,251.709,3.020508,200,136,0,1,1,37.906723,86.595215,24.65753425,37.906723,true
demand_low_x0.8,2039,256,168,332.5443333,3.990532,256,168,0,1,1,86.595215,159.1490163,31.56164384,86.595215,true
demand_low_x0.8,2040,312,200,394.6623333,4.735948,312,200,0,1,1,159.1490163,237.0754017,38.46575342,159.1490163,true
demand_high,2035,110,88,63.874,2.87433,110,88,0,1,1,65,15.99967,13.56164384,65,true
demand_high,2036,154,115.5,111.44,3.292299,124.147371,108.1725343,29.852629,0.8061517597,0.9365587388,15.99967,0,18.98630137,15.99967,false
demand_high,2037,209,148.5,149.554,1.794648,147.759352,141.8988067,61.240648,0.7069825455,0.9555475196,0,0,25.76712329,0,false
demand_high,2038,312.5,212.5,251.709,3.020508,248.688492,212.5,63.811508,0.7958031744,1,0,0,38.52739726,0,false
demand_high,2039,400,262.5,332.5443333,3.990532,328.5538013,262.5,71.44619867,0.8213845033,1,0,0,49.31506849,0,false
demand_high,2040,487.5,312.5,394.6623333,4.735948,389.9263853,312.5,97.57361467,0.7998489956,1,0,0,60.10273973,0,false
priceAB_x0.8,2035,100,80,63.874,2.87433,100,80,0,1,1,65,25.99967,12.32876712,65,true
priceAB_x0.8,2036,140,105,111.44,3.292299,134.147371,104.4833333,5.852629,0.9581955071,0.9950793651,25.99967,0,17.26027397,25.99967,true
priceAB_x0.8,2037,190,135,149.554,1.794648,147.759352,135,42.240648,0.7776808,1,0,0,23.42465753,0,false
priceAB_x0.8,2038,250,170,251.709,3.020508,248.5844533,170,1.415546667,0.9943378133,1,0,0.1040386667,30.82191781,0,false
priceAB_x0.8,2039,320,210,332.5443333,3.990532,320,210,0,1,1,0.1040386667,8.65784,39.45205479,0.1040386667,false
priceAB_x0.8,2040,390,250,394.6623333,4.735948,390,250,0,1,1,8.65784,8.584225333,48.08219178,8.65784,false
priceAB_x1.2,2035,100,80,63.874,2.87433,100,80,0,1,1,65,25.99967,12.32876712,65,true
priceAB_x1.2,2036,140,105,111.44,3.292299,134.147371,104.4833333,5.852629,0.9581955071,0.9950793651,25.99967,0,17.26027397,25.99967,true
priceAB_x1.2,2037,190,135,149.554,1.794648,147.759352,135,42.240648,0.7776808,1,0,0,23.42465753,0,false
priceAB_x1.2,2038,250,170,251.709,3.020508,248.5844533,170,1.415546667,0.9943378133,1,0,0.1040386667,30.82191781,0,false
priceAB_x1.2,2039,320,210,332.5443333,3.990532,320,210,0,1,1,0.1040386667,8.65784,39.45205479,0.1040386667,false
priceAB_x1.2,2040,390,250,394.6623333,4.735948,390,250,0,1,1,8.65784,8.584225333,48.08219178,8.65784,false
shareD_0.40,2035,100,80,63.874,2.87433,100,80,0,1,1,65,25.99967,12.32876712,65,true
shareD_0.40,2036,140,105,111.44,3.292299,134.147371,104.4833333,5.852629,0.9581955071,0.9950793651,25.99967,0,17.26027397,25.99967,true
shareD_0.40,2037,190,135,149.554,1.794648,147.759352,135,42.240648,0.7776808,1,0,0,23.42465753,0,false
shareD_0.40,2038,250,170,220.1256,2.6415072,217.4840928,170,32.5159072,0.8699363712,1,0,0,30.82191781,0,false
shareD_0.40,2039,320,210,293.0163333,3.516196,289.5001373,210,30.49986267,0.9046879292,1,0,0,39.45205479,0,false
shareD_0.40,2040,390,250,394.6623333,4.735948,389.9263853,250,0.07361466667,0.9998112444,1,0,0,48.08219178,0,false
shareD_0.55,2035,100,80,63.874,2.87433,100,80,0,1,1,65,25.99967,12.32876712,65,true
shareD_0.55,2036,140,105,111.44,3.292299,134.147371,104.4833333,5.852629,0.9581955071,0.9950793651,25.99967,0,17.26027397,25.99967,true
shareD_0.55,2037,190,135,149.554,1.794648,147.759352,135,42.240648,0.7776808,1,0,0,23.42465753,0,false
shareD_0.55,2038,250,170,228.02145,2.7362574,225.2851926,170,24.7148074,0.9011407704,1,0,0,30.82191781,0,false
shareD_0.55,2039,320,210,302.8983333,3.63478,299.2635533,210,20.73644667,0.9351986042,1,0,0,39.45205479,0,false
shareD_0.55,2040,390,250,394.6623333,4.735948,389.9263853,250,0.07361466667,0.9998112444,1,0,0,48.08219178,0,false
shareD_0.75,2035,100,80,63.874,2.87433,100,80,0,1,1,65,25.99967,12.32876712,65,true
shareD_0.75,2036,140,105,111.44,3.292299,134.147371,104.4833333,5.852629,0.9581955071,0.9950793651,25.99967,0,17.26027397,25.99967,true
