series,demand_mult,priceA_mult,shareD,norm,broken,new_violations,first_new_rules,min_sl_total,shortage_t
BASE,1,1,1,0,false,0,,0.7777,49.51
BASE,1,1,0.9,1,false,0,,0.7777,62
BASE,1,1,0.8,2,true,2,BASE_TOTAL_SERVICE,0.7777,83.08
BASE,1,1,0.7,3,true,3,BASE_TOTAL_SERVICE,0.7777,104.16
BASE,1,1,0.6,4,true,3,BASE_TOTAL_SERVICE,0.7777,125.23
BASE,1,1,0.5,5,true,3,BASE_TOTAL_SERVICE,0.7777,146.31
BASE,1,1,0.4,6,true,3,BASE_TOTAL_SERVICE,0.7777,167.39
BASE,1,1,0.3,7,true,3,BASE_TOTAL_SERVICE,0.7777,188.46
BASE,1,1,0.2,8,true,3,BASE_TOTAL_SERVICE,0.7777,209.54
BASE,1,1,0.1,9,true,3,BASE_TOTAL_SERVICE,0.7777,230.62
BASE,1,1,0,10,true,3,BASE_TOTAL_SERVICE,0.7596,251.69
BASE,1,1.05,1,1,false,0,,0.7777,49.51
BASE,1,1.05,0.9,1,false,0,,0.7777,62
BASE,1,1.05,0.8,2,true,2,BASE_TOTAL_SERVICE,0.7777,83.08
BASE,1,1.05,0.7,3,true,3,BASE_TOTAL_SERVICE,0.7777,104.16
BASE,1,1.05,0.6,4,true,3,BASE_TOTAL_SERVICE,0.7777,125.23
BASE,1,1.05,0.5,5,true,3,BASE_TOTAL_SERVICE,0.7777,146.31
BASE,1,1.05,0.4,6,true,3,BASE_TOTAL_SERVICE,0.7777,167.39
BASE,1,1.05,0.3,7,true,3,BASE_TOTAL_SERVICE,0.7777,188.46
BASE,1,1.05,0.2,8,true,3,BASE_TOTAL_SERVICE,0.7777,209.54
BASE,1,1.05,0.1,9,true,3,BASE_TOTAL_SERVICE,0.7777,230.62
BASE,1,1.05,0,10,true,3,BASE_TOTAL_SERVICE,0.7596,251.69
BASE,1,1.1,1,2,false,0,,0.7777,49.51
BASE,1,1.1,0.9,2,false,0,,0.7777,62
BASE,1,1.1,0.8,2,true,2,BASE_TOTAL_SERVICE,0.7777,83.08
BASE,1,1.1,0.7,3,true,3,BASE_TOTAL_SERVICE,0.7777,104.16
BASE,1,1.1,0.6,4,true,3,BASE_TOTAL_SERVICE,0.7777,125.23
BASE,1,1.1,0.5,5,true,3,BASE_TOTAL_SERVICE,0.7777,146.31
BASE,1,1.1,0.4,6,true,3,BASE_TOTAL_SERVICE,0.7777,167.39
BASE,1,1.1,0.3,7,true,3,BASE_TOTAL_SERVICE,0.7777,188.46
BASE,1,1.1,0.2,8,true,3,BASE_TOTAL_SERVICE,0.7777,209.54
BASE,1,1.1,0.1,9,true,3,BASE_TOTAL_SERVICE,0.7777,230.62
BASE,1,1.1,0,10,true,3,BASE_TOTAL_SERVICE,0.7596,251.69
BASE,1,1.15,1,3,false,0,,0.7777,49.51
BASE,1,1.15,0.9,3,false,0,,0.7777,62
BASE,1,1.15,0.8,3,true,2,BASE_TOTAL_SERVICE,0.7777,83.08
BASE,1,1.15,0.7,3,true,3,BASE_TOTAL_SERVICE,0.7777,104.16
BASE,1,1.15,0.6,4,true,3,BASE_TOTAL_SERVICE,0.7777,125.23
BASE,1,1.15,0.5,5,true,3,BASE_TOTAL_SERVICE,0.7777,146.31
BASE,1,1.15,0.4,6,true,3,BASE_TOTAL_SERVICE,0.7777,167.39
BASE,1,1.15,0.3,7,true,3,BASE_TOTAL_SERVICE,0.7777,188.46
BASE,1,1.15,0.2,8,true,3,BASE_TOTAL_SERVICE,0.7777,209.54
BASE,1,1.15,0.1,9,true,3,BASE_TOTAL_SERVICE,0.7777,230.62
BASE,1,1.15,0,10,true,3,BASE_TOTAL_SERVICE,0.7596,251.69
BASE,1,1.2,1,4,false,0,,0.7777,49.51
