series,plan_id,demand_mult,priceA_mult,shareD,norm,broken,new_violations,first_new_rules,min_sl_total,shortage_t
MANDATORY_STRESS,FINAL_STRESS,1,1,1,0,false,0,,1,0
MANDATORY_STRESS,FINAL_STRESS,1,1,0.9,1,false,0,,1,0
MANDATORY_STRESS,FINAL_STRESS,1,1,0.8,2,false,0,,1,0
MANDATORY_STRESS,FINAL_STRESS,1,1,0.7,3,true,2,BASE_TOTAL_SERVICE;RESERVE_45D,0.9692,13.82
MANDATORY_STRESS,FINAL_STRESS,1,1,0.6,4,true,2,BASE_TOTAL_SERVICE;RESERVE_45D,0.9183,36.66
MANDATORY_STRESS,FINAL_STRESS,1,1,0.5,5,true,2,BASE_TOTAL_SERVICE;RESERVE_45D,0.8603,62.64
MANDATORY_STRESS,FINAL_STRESS,1,1,0.4,6,true,3,BASE_TOTAL_SERVICE;RESERVE_45D,0.7954,91.78
MANDATORY_STRESS,FINAL_STRESS,1,1,0.3,7,true,3,BASE_TOTAL_SERVICE;RESERVE_45D,0.7402,120.91
MANDATORY_STRESS,FINAL_STRESS,1,1,0.2,8,true,4,BASE_TOTAL_SERVICE;RESERVE_45D,0.7137,150.05
MANDATORY_STRESS,FINAL_STRESS,1,1,0.1,9,true,4,BASE_TOTAL_SERVICE;RESERVE_45D,0.6873,179.18
MANDATORY_STRESS,FINAL_STRESS,1,1,0,10,true,4,BASE_TOTAL_SERVICE;RESERVE_45D,0.6609,208.31
MANDATORY_STRESS,FINAL_STRESS,1,1.05,1,1,false,0,,1,0
MANDATORY_STRESS,FINAL_STRESS,1,1.05,0.9,1,false,0,,1,0
MANDATORY_STRESS,FINAL_STRESS,1,1.05,0.8,2,false,0,,1,0
MANDATORY_STRESS,FINAL_STRESS,1,1.05,0.7,3,true,2,BASE_TOTAL_SERVICE;RESERVE_45D,0.9692,13.82
MANDATORY_STRESS,FINAL_STRESS,1,1.05,0.6,4,true,2,BASE_TOTAL_SERVICE;RESERVE_45D,0.9183,36.66
MANDATORY_STRESS,FINAL_STRESS,1,1.05,0.5,5,true,2,BASE_TOTAL_SERVICE;RESERVE_45D,0.8603,62.64
MANDATORY_STRESS,FINAL_STRESS,1,1.05,0.4,6,true,3,BASE_TOTAL_SERVICE;RESERVE_45D,0.7954,91.78
MANDATORY_STRESS,FINAL_STRESS,1,1.05,0.3,7,true,3,BASE_TOTAL_SERVICE;RESERVE_45D,0.7402,120.91
MANDATORY_STRESS,FINAL_STRESS,1,1.05,0.2,8,true,4,BASE_TOTAL_SERVICE;RESERVE_45D,0.7137,150.05
MANDATORY_STRESS,FINAL_STRESS,1,1.05,0.1,9,true,4,BASE_TOTAL_SERVICE;RESERVE_45D,0.6873,179.18
MANDATORY_STRESS,FINAL_STRESS,1,1.05,0,10,true,4,BASE_TOTAL_SERVICE;RESERVE_45D,0.6609,208.31
MANDATORY_STRESS,FINAL_STRESS,1,1.1,1,2,false,0,,1,0
MANDATORY_STRESS,FINAL_STRESS,1,1.1,0.9,2,false,0,,1,0
MANDATORY_STRESS,FINAL_STRESS,1,1.1,0.8,2,false,0,,1,0
MANDATORY_STRESS,FINAL_STRESS,1,1.1,0.7,3,true,2,BASE_TOTAL_SERVICE;RESERVE_45D,0.9692,13.82
MANDATORY_STRESS,FINAL_STRESS,1,1.1,0.6,4,true,2,BASE_TOTAL_SERVICE;RESERVE_45D,0.9183,36.66
MANDATORY_STRESS,FINAL_STRESS,1,1.1,0.5,5,true,2,BASE_TOTAL_SERVICE;RESERVE_45D,0.8603,62.64
MANDATORY_STRESS,FINAL_STRESS,1,1.1,0.4,6,true,3,BASE_TOTAL_SERVICE;RESERVE_45D,0.7954,91.78
MANDATORY_STRESS,FINAL_STRESS,1,1.1,0.3,7,true,3,BASE_TOTAL_SERVICE;RESERVE_45D,0.7402,120.91
MANDATORY_STRESS,FINAL_STRESS,1,1.1,0.2,8,true,4,BASE_TOTAL_SERVICE;RESERVE_45D,0.7137,150.05
