period,inventory_t,reserve_threshold_t,capacity_t
2035-01,56.66666667,12.32876712,70
2035-02,48.33333333,12.32876712,70
2035-03,40,12.32876712,70
2035-04,31.66666667,12.32876712,70
2035-05,27.37011833,12.32876712,70
2035-06,26.9948,12.32876712,70
2035-07,26.61948167,12.32876712,70
2035-08,26.24416333,12.32876712,70
2035-09,26.05125,12.32876712,70
2035-10,26.03405667,12.32876712,70
2035-11,26.01686333,12.32876712,70
2035-12,25.99967,12.32876712,70
2036-01,31.87157833,17.26027397,70
2036-02,31.72125667,17.26027397,70
2036-03,31.570935,17.26027397,70
2036-04,31.42061333,17.26027397,70
2036-05,31.68476167,17.26027397,70
2036-06,31.678645,17.26027397,70
2036-07,32.07545833,17.26027397,120
2036-08,32.47227167,17.26027397,120
2036-09,32.887857,17.26027397,120
2036-10,33.29059833,17.26027397,120
2036-11,33.15092767,17.26027397,120
2036-12,33.011257,17.26027397,120
2037-01,40.23290367,23.42465753,120
2037-02,40.18781033,23.42465753,120
2037-03,40.135801,23.42465753,120
2037-04,40.08379167,23.42465753,120
2037-05,40.17010233,23.42465753,120
2037-06,40.169469,23.42465753,120
2037-07,40.16883567,23.42465753,120
2037-08,40.16820233,23.42465753,120
2037-09,40.168557,23.42465753,120
2037-10,40.16792367,23.42465753,120
2037-11,40.16729033,23.42465753,120
2037-12,40.166657,23.42465753,120
2038-01,44.24574367,30.82191781,120
2038-02,44.39431933,30.82191781,120
2038-03,42.1149838,30.82191781,120
2038-04,39.78130827,30.82191781,120
2038-05,37.44600253,30.82191781,120
2038-06,35.1101534,30.82191781,120
2038-07,32.77430427,30.82191781,120
2038-08,30.43845513,30.82191781,120
2038-09,28.102606,30.82191781,120
2038-10,25.76675687,30.82191781,120
2038-11,23.43090773,30.82191781,120
2038-12,21.0950586,30.82191781,120
2039-01,26.53839193,39.45205479,120
2039-02,26.45386527,39.45205479,120
2039-03,24.5393156,39.45205479,120
2039-04,23.89928593,39.45205479,120
2039-05,21.91508227,39.45205479,120
2039-06,21.2698656,39.45205479,120
2039-07,19.28417993,39.45205479,120
2039-08,18.63896327,39.45205479,120
2039-09,16.6532776,39.45205479,120
2039-10,16.00806093,39.45205479,120
2039-11,14.02237527,39.45205479,120
2039-12,13.3771586,39.45205479,120
2040-01,13.3754426,48.08219178,120
2040-02,13.3055546,48.08219178,120
2040-03,13.3058146,48.08219178,120
2040-04,13.3050866,48.08219178,120
2040-05,13.3053466,48.08219178,120
2040-06,13.3056066,48.08219178,120
2040-07,13.3058666,48.08219178,120
2040-08,13.3061266,48.08219178,120
2040-09,13.3063866,48.08219178,120
2040-10,13.3066466,48.08219178,120
2040-11,13.3069066,48.08219178,120
2040-12,13.3071666,48.08219178,120
