period,inventory_t,reserve_threshold_t,capacity_t
2035-01,56.66666667,12.32876712,70
2035-02,48.33333333,12.32876712,70
2035-03,40,12.32876712,70
2035-04,31.66666667,12.32876712,70
2035-05,27.37011833,12.32876712,70
2035-06,26.9948,12.32876712,70
2035-07,26.61948167,12.32876712,70
2035-08,26.24416333,12.32876712,70
2035-09,26.05125,12.32876712,70
2035-10,26.03405667,12.32876712,70
2035-11,26.01686333,12.32876712,70
2035-12,25.99967,12.32876712,70
2036-01,31.87157833,17.26027397,70
2036-02,31.72125667,17.26027397,70
2036-03,31.570935,17.26027397,70
2036-04,31.42061333,17.26027397,70
2036-05,31.68476167,17.26027397,70
2036-06,31.678645,17.26027397,70
2036-07,32.07545833,17.26027397,120
2036-08,32.47227167,17.26027397,120
2036-09,32.887857,17.26027397,120
2036-10,33.29059833,17.26027397,120
2036-11,33.15092767,17.26027397,120
2036-12,33.011257,17.26027397,120
2037-01,41.87792367,23.42465753,120
2037-02,44.75533433,23.42465753,120
2037-03,44.703325,23.42465753,120
2037-04,44.65131567,23.42465753,120
2037-05,44.75738633,23.42465753,120
2037-06,44.791333,23.42465753,120
2037-07,44.79069967,23.42465753,120
2037-08,44.79006633,23.42465753,120
2037-09,44.791409,23.42465753,120
2037-10,44.79176367,23.42465753,120
2037-11,44.79113033,23.42465753,120
2037-12,44.790497,23.42465753,120
2038-01,50.72543747,35.44520548,120
2038-02,51.46710413,35.44520548,120
2038-03,50.1497788,35.44520548,120
2038-04,50.30378307,35.44520548,120
2038-05,50.17798573,35.44520548,120
2038-06,50.1503462,35.44520548,120
2038-07,50.13421687,35.44520548,120
2038-08,50.08004953,35.44520548,120
2038-09,50.0777522,35.44520548,120
2038-10,50.04724747,35.44520548,120
2038-11,50.04692613,35.44520548,120
2038-12,50.0318342,35.44520548,120
2039-01,51.47516753,45.36986301,120
2039-02,52.91850087,45.36986301,120
2039-03,54.3618342,45.36986301,120
2039-04,55.80516753,45.36986301,120
2039-05,57.24850087,45.36986301,120
2039-06,58.6918342,45.36986301,120
2039-07,59.88915553,45.36986301,120
2039-08,60.26322587,45.36986301,120
2039-09,60.5735702,45.36986301,120
2039-10,60.67050653,45.36986301,120
2039-11,60.75114087,45.36986301,120
2039-12,60.7762002,45.36986301,120
2040-01,57.9812002,55.29452055,120
2040-02,55.1862002,55.29452055,120
2040-03,52.3912002,55.29452055,120
2040-04,49.5962002,55.29452055,120
2040-05,46.8012002,55.29452055,120
2040-06,44.0062002,55.29452055,120
2040-07,41.2112002,55.29452055,120
2040-08,38.4162002,55.29452055,120
2040-09,35.6212002,55.29452055,120
2040-10,32.8262002,55.29452055,120
2040-11,30.0312002,55.29452055,120
2040-12,27.2362002,55.29452055,120
