period,inventory_t,reserve_threshold_t,capacity_t
2035-01,56.66666667,12.32876712,70
2035-02,48.33333333,12.32876712,70
2035-03,40,12.32876712,70
2035-04,31.66666667,12.32876712,70
2035-05,27.37011833,12.32876712,70
2035-06,26.9948,12.32876712,70
2035-07,26.61948167,12.32876712,70
2035-08,26.24416333,12.32876712,70
2035-09,26.05125,12.32876712,70
2035-10,26.03405667,12.32876712,70
2035-11,26.01686333,12.32876712,70
2035-12,25.99967,12.32876712,70
2036-01,31.59610333,17.26027397,70
2036-02,31.26489667,17.26027397,70
2036-03,30.93369,17.26027397,70
2036-04,30.60248333,17.26027397,70
2036-05,31.38423667,17.26027397,70
2036-06,31.89997,17.26027397,70
2036-07,33.03778333,17.26027397,120
2036-08,34.17559667,17.26027397,120
2036-09,35.332182,17.26027397,120
2036-10,36.47592333,17.26027397,120
2036-11,36.33625267,17.26027397,120
2036-12,36.196582,17.26027397,120
2037-01,43.41822867,23.42465753,120
2037-02,43.37313533,23.42465753,120
2037-03,43.321126,23.42465753,120
2037-04,43.26911667,23.42465753,120
2037-05,43.35542733,23.42465753,120
2037-06,43.354794,23.42465753,120
2037-07,43.35416067,23.42465753,120
2037-08,43.35352733,23.42465753,120
2037-09,43.353882,23.42465753,120
2037-10,43.35324867,23.42465753,120
2037-11,43.35261533,23.42465753,120
2037-12,43.351982,23.42465753,120
2038-01,51.87706867,30.82191781,120
2038-02,52.19681533,30.82191781,120
2038-03,52.299202,30.82191781,120
2038-04,52.30278867,30.82191781,120
2038-05,52.30341133,30.82191781,120
2038-06,52.303046,30.82191781,120
2038-07,52.30268067,30.82191781,120
2038-08,52.30231533,30.82191781,120
2038-09,52.30195,30.82191781,120
2038-10,52.30158467,30.82191781,120
2038-11,52.30121933,30.82191781,120
2038-12,52.300854,30.82191781,120
2039-01,60.21418733,39.45205479,120
2039-02,60.75704067,39.45205479,120
2039-03,60.851342,39.45205479,120
2039-04,60.85771133,39.45205479,120
2039-05,60.85914067,39.45205479,120
2039-06,60.858594,39.45205479,120
2039-07,60.85804733,39.45205479,120
2039-08,60.85750067,39.45205479,120
2039-09,60.856954,39.45205479,120
2039-10,60.85640733,39.45205479,120
2039-11,60.85586067,39.45205479,120
2039-12,60.855314,39.45205479,120
2040-01,60.853598,48.08219178,120
2040-02,60.78371,48.08219178,120
2040-03,60.78397,48.08219178,120
2040-04,60.783242,48.08219178,120
2040-05,60.783502,48.08219178,120
2040-06,60.783762,48.08219178,120
2040-07,60.784022,48.08219178,120
2040-08,60.784282,48.08219178,120
2040-09,60.784542,48.08219178,120
2040-10,60.784802,48.08219178,120
2040-11,60.785062,48.08219178,120
2040-12,60.785322,48.08219178,120
