period,inventory_t,reserve_threshold_t,capacity_t
2035-01,56.66666667,12.32876712,70
2035-02,48.33333333,12.32876712,70
2035-03,40,12.32876712,70
2035-04,31.66666667,12.32876712,70
2035-05,27.37011833,12.32876712,70
2035-06,26.9948,12.32876712,70
2035-07,26.61948167,12.32876712,70
2035-08,26.24416333,12.32876712,70
2035-09,26.05125,12.32876712,70
2035-10,26.03405667,12.32876712,70
2035-11,26.01686333,12.32876712,70
2035-12,25.99967,12.32876712,70
2036-01,31.87157833,17.26027397,70
2036-02,31.72125667,17.26027397,70
2036-03,31.570935,17.26027397,70
2036-04,31.42061333,17.26027397,70
2036-05,31.68476167,17.26027397,70
2036-06,31.678645,17.26027397,70
2036-07,32.07545833,17.26027397,120
2036-08,32.47227167,17.26027397,120
2036-09,32.887857,17.26027397,120
2036-10,33.29059833,17.26027397,120
2036-11,33.15092767,17.26027397,120
2036-12,33.011257,17.26027397,120
2037-01,41.87792367,23.42465753,120
2037-02,44.75533433,23.42465753,120
2037-03,44.703325,23.42465753,120
2037-04,44.65131567,23.42465753,120
2037-05,44.75738633,23.42465753,120
2037-06,44.791333,23.42465753,120
2037-07,44.79069967,23.42465753,120
2037-08,44.79006633,23.42465753,120
2037-09,44.791409,23.42465753,120
2037-10,44.79176367,23.42465753,120
2037-11,44.79113033,23.42465753,120
2037-12,44.790497,23.42465753,120
2038-01,49.30909007,35.44520548,120
2038-02,50.05075673,35.44520548,120
2038-03,47.2514314,35.44520548,120
2038-04,47.33667087,35.44520548,120
2038-05,45.72887353,35.44520548,120
2038-06,45.5860826,35.44520548,120
2038-07,44.08795327,35.44520548,120
2038-08,43.89595993,35.44520548,120
2038-09,42.4116626,35.44520548,120
2038-10,42.23310607,35.44520548,120
2038-11,40.75078473,35.44520548,120
2038-12,40.5828986,35.44520548,120
2039-01,42.02623193,45.36986301,120
2039-02,43.46956527,45.36986301,120
2039-03,44.9128986,45.36986301,120
2039-04,46.35623193,45.36986301,120
2039-05,47.79956527,45.36986301,120
2039-06,49.2428986,45.36986301,120
2039-07,50.44021993,45.36986301,120
2039-08,50.81429027,45.36986301,120
2039-09,51.1246346,45.36986301,120
2039-10,51.22157093,45.36986301,120
2039-11,51.30220527,45.36986301,120
2039-12,51.3272646,45.36986301,120
2040-01,48.5322646,55.29452055,120
2040-02,45.7372646,55.29452055,120
2040-03,42.9422646,55.29452055,120
2040-04,40.1472646,55.29452055,120
2040-05,37.3522646,55.29452055,120
2040-06,34.5572646,55.29452055,120
2040-07,31.7622646,55.29452055,120
2040-08,28.9672646,55.29452055,120
2040-09,26.1722646,55.29452055,120
2040-10,23.3772646,55.29452055,120
2040-11,20.5822646,55.29452055,120
2040-12,17.7872646,55.29452055,120
