period,inventory_t,reserve_threshold_t,capacity_t
2035-01,56.66666667,12.32876712,70
2035-02,48.33333333,12.32876712,70
2035-03,40,12.32876712,70
2035-04,31.66666667,12.32876712,70
2035-05,27.37011833,12.32876712,70
2035-06,26.9948,12.32876712,70
2035-07,26.61948167,12.32876712,70
2035-08,26.24416333,12.32876712,70
2035-09,26.05125,12.32876712,70
2035-10,26.03405667,12.32876712,70
2035-11,26.01686333,12.32876712,70
2035-12,25.99967,12.32876712,70
2036-01,31.59610333,17.26027397,70
2036-02,31.26489667,17.26027397,70
2036-03,30.93369,17.26027397,70
2036-04,30.60248333,17.26027397,70
2036-05,30.67923667,17.26027397,70
2036-06,30.48997,17.26027397,70
2036-07,30.88678333,17.26027397,120
2036-08,31.28359667,17.26027397,120
2036-09,31.699182,17.26027397,120
2036-10,32.10192333,17.26027397,120
2036-11,31.96225267,17.26027397,120
2036-12,31.822582,17.26027397,120
2037-01,39.04422867,23.42465753,120
2037-02,38.99913533,23.42465753,120
2037-03,38.947126,23.42465753,120
2037-04,38.89511667,23.42465753,120
2037-05,38.98142733,23.42465753,120
2037-06,38.980794,23.42465753,120
2037-07,38.98016067,23.42465753,120
2037-08,38.97952733,23.42465753,120
2037-09,38.979882,23.42465753,120
2037-10,38.97924867,23.42465753,120
2037-11,38.97861533,23.42465753,120
2037-12,38.977982,23.42465753,120
2038-01,47.50306867,30.82191781,120
2038-02,47.82281533,30.82191781,120
2038-03,47.925202,30.82191781,120
2038-04,47.92878867,30.82191781,120
2038-05,47.92941133,30.82191781,120
2038-06,47.929046,30.82191781,120
2038-07,47.92868067,30.82191781,120
2038-08,47.92831533,30.82191781,120
2038-09,47.92795,30.82191781,120
2038-10,47.92758467,30.82191781,120
2038-11,47.92721933,30.82191781,120
2038-12,47.926854,30.82191781,120
2039-01,55.84018733,39.45205479,120
2039-02,56.38304067,39.45205479,120
2039-03,56.477342,39.45205479,120
2039-04,56.48371133,39.45205479,120
2039-05,56.48514067,39.45205479,120
2039-06,56.484594,39.45205479,120
2039-07,56.48404733,39.45205479,120
2039-08,56.48350067,39.45205479,120
2039-09,56.482954,39.45205479,120
2039-10,56.48240733,39.45205479,120
2039-11,56.48186067,39.45205479,120
2039-12,56.481314,39.45205479,120
2040-01,56.479598,48.08219178,120
2040-02,56.40971,48.08219178,120
2040-03,56.40997,48.08219178,120
2040-04,56.409242,48.08219178,120
2040-05,56.409502,48.08219178,120
2040-06,56.409762,48.08219178,120
2040-07,56.410022,48.08219178,120
2040-08,56.410282,48.08219178,120
2040-09,56.410542,48.08219178,120
2040-10,56.410802,48.08219178,120
2040-11,56.411062,48.08219178,120
2040-12,56.411322,48.08219178,120
