period,inventory_t,reserve_threshold_t,capacity_t
2035-01,56.66666667,12.32876712,70
2035-02,48.33333333,12.32876712,70
2035-03,40,12.32876712,70
2035-04,31.66666667,12.32876712,70
2035-05,27.37011833,12.32876712,70
2035-06,26.9948,12.32876712,70
2035-07,26.61948167,12.32876712,70
2035-08,26.24416333,12.32876712,70
2035-09,26.05125,12.32876712,70
2035-10,26.03405667,12.32876712,70
2035-11,26.01686333,12.32876712,70
2035-12,25.99967,12.32876712,70
2036-01,31.87157833,17.26027397,70
2036-02,31.72125667,17.26027397,70
2036-03,31.570935,17.26027397,70
2036-04,31.42061333,17.26027397,70
2036-05,31.68476167,17.26027397,70
2036-06,31.678645,17.26027397,70
2036-07,32.07545833,17.26027397,120
2036-08,32.47227167,17.26027397,120
2036-09,32.887857,17.26027397,120
2036-10,33.29059833,17.26027397,120
2036-11,33.15092767,17.26027397,120
2036-12,33.011257,17.26027397,120
2037-01,40.23290367,23.42465753,120
2037-02,40.18781033,23.42465753,120
2037-03,40.135801,23.42465753,120
2037-04,40.08379167,23.42465753,120
2037-05,40.17010233,23.42465753,120
2037-06,40.169469,23.42465753,120
2037-07,40.16883567,23.42465753,120
2037-08,40.16820233,23.42465753,120
2037-09,40.168557,23.42465753,120
2037-10,40.16792367,23.42465753,120
2037-11,40.16729033,23.42465753,120
2037-12,40.166657,23.42465753,120
2038-01,47.71114867,30.82191781,120
2038-02,47.32436533,30.82191781,120
2038-03,46.727482,30.82191781,120
2038-04,46.03509867,30.82191781,120
2038-05,45.33985033,30.82191781,120
2038-06,44.643647,30.82191781,120
2038-07,43.94744367,30.82191781,120
2038-08,43.25124033,30.82191781,120
2038-09,42.555037,30.82191781,120
2038-10,41.85883367,30.82191781,120
2038-11,41.16263033,30.82191781,120
2038-12,40.466427,30.82191781,120
2039-01,48.37976033,39.45205479,120
2039-02,48.92261367,39.45205479,120
2039-03,49.016915,39.45205479,120
2039-04,49.02328433,39.45205479,120
2039-05,49.02471367,39.45205479,120
2039-06,49.024167,39.45205479,120
2039-07,49.02362033,39.45205479,120
2039-08,49.02307367,39.45205479,120
2039-09,49.022527,39.45205479,120
2039-10,49.02198033,39.45205479,120
2039-11,49.02143367,39.45205479,120
2039-12,49.020887,39.45205479,120
2040-01,49.019171,48.08219178,120
2040-02,48.949283,48.08219178,120
2040-03,48.949543,48.08219178,120
2040-04,48.948815,48.08219178,120
2040-05,48.949075,48.08219178,120
2040-06,48.949335,48.08219178,120
2040-07,48.949595,48.08219178,120
2040-08,48.949855,48.08219178,120
2040-09,48.950115,48.08219178,120
2040-10,48.950375,48.08219178,120
2040-11,48.950635,48.08219178,120
2040-12,48.950895,48.08219178,120
